Tick,Quality,type,Task
9.3,4.196979812402427,Order347-6,Task 8924
11.3,9.802612028533938,Order347-5,Task 8923
14.0,7.997935493368848,Order347-6,Task 8944
14.3,1.5998684106432708,Order353-7,Task 8935
15.3,4.318196951546496,Order347-3,Task 8921
15.3,9.13311571056168,Order347-10,Task 8928
16.3,5.596023107838992,Order347-1,Task 8919
19.3,4.808287068897945,Order353-9,Task 8937
20.3,20.290353273154725,Order353-1,Task 8929
21.3,10.338633753428184,Order353-3,Task 8931
22.3,-2.793380438275406,Order353-10,Task 8938
23.3,13.05331657652353,Order347-10,Task 8948
25.3,10.695866316187933,Order353-8,Task 8936
27.3,9.866691824395097,Order347-5,Task 8943
27.3,5.889349342135784,Order353-2,Task 8930
27.3,2.2615548906996827,Order347-1,Task 8939
29.3,18.114145743245743,Order347-3,Task 8941
32.3,4.9570031248654285,Order347-7,Task 8945
34.3,4.693394688782629,Order347-4,Task 8922
34.3,2.9501974369312047,Order347-4,Task 8942
35.3,5.384088176695057,Order347-7,Task 8925
42.3,8.580663729954349,Order347-9,Task 8947
47.0,10.094615950887462,Order354-6,Task 8994
47.3,9.258877902139178,Order354-7,Task 8995
53.3,2.1677065813689635,Order347-8,Task 8926
64.3,1.638481030386043,Order347-8,Task 8946
74.3,3.3691923265034243,Order353-5,Task 8933
79.3,4.063627840161332,Order346-7,Task 8955
81.3,-0.3547657882201687,Order346-2,Task 8950
83.3,10.913689133589996,Order347-9,Task 8927
86.3,3.9674415030424037,Order346-9,Task 8957
90.3,4.989248662543051,Order346-4,Task 8952
90.3,18.468878787472843,Order351-1,Task 9029
91.3,1.7932839615725717,Order346-7,Task 8965
91.3,0.44602032379335466,Order353-6,Task 8934
95.3,2.497864466884187,Order346-8,Task 8956
96.3,1.909165091549309,Order346-4,Task 8962
97.3,6.507141019762037,Order347-2,Task 8920
97.3,1.7079941333409703,Order346-10,Task 8958
99.3,4.220077975529817,Order346-1,Task 8949
103.3,7.025382182582661,Order347-2,Task 8940
106.3,3.5361845648916623,Order346-3,Task 8951
108.3,9.122382338809796,Order346-3,Task 8961
110.3,10.100170495058595,Order348-6,Task 8974
110.3,4.259979756330506,Order346-2,Task 8960
111.3,-0.49160113415412177,Order346-8,Task 8966
113.3,9.781531615891007,Order346-1,Task 8959
116.3,5.320446339639066,Order346-10,Task 8968
118.3,7.288631819743778,Order353-4,Task 8932
119.3,0.21923260910608677,Order348-8,Task 8976
120.3,0.32971507467496286,Order346-9,Task 8967
120.3,10.592102571702862,Order348-5,Task 8973
122.3,7.581550459639818,Order346-5,Task 8963
123.3,7.149502687284177,Order346-6,Task 8954
127.3,7.311692851040841,Order346-5,Task 8953
128.3,7.270402324329143,Order346-6,Task 8964
132.3,5.836333161762201,Order348-3,Task 8971
133.3,9.351331044426528,Order348-4,Task 8972
138.3,9.244815640221285,Order348-10,Task 8978
140.3,12.933020518297266,Order348-7,Task 8975
141.3,5.681235631544068,Order348-1,Task 8969
143.3,4.312943579057522,Order348-2,Task 8970
146.3,15.709011759329467,Order348-9,Task 8977
152.3,1.0804122917656482,Order347-7,Task 8985
154.3,25.22783217454268,Order347-6,Task 8984
162.0,26.84565235639072,Order351-10,Task 9077
163.3,-0.12396170809157003,Order347-8,Task 8986
165.3,0.34615877614639023,Order354-2,Task 8990
173.3,15.74621261398809,Order347-9,Task 8987
174.3,20.480591842420168,Order347-4,Task 8982
178.3,9.003681297141505,Order347-2,Task 8980
178.3,8.208903410129913,Order354-1,Task 8989
179.3,10.115432648674917,Order354-9,Task 8997
180.3,9.80023291553909,Order347-10,Task 8988
181.3,2.6334789584992655,Order354-10,Task 8998
181.3,10.154340191821193,Order354-4,Task 8992
181.3,10.56051226100364,Order347-1,Task 8979
184.3,5.1769735335373905,Order353-10,Task 9008
184.3,10.360900382601343,Order347-5,Task 8983
187.3,11.342858103869837,Order354-5,Task 8993
188.3,27.10408537141898,Order347-3,Task 8981
191.3,14.078827081533293,Order353-9,Task 9007
193.3,10.660782821785233,Order353-3,Task 9001
193.3,13.789189264256507,Order345-5,Task 9013
194.3,10.81308130036908,Order354-3,Task 8991
197.3,9.5392692826999,Order354-8,Task 8996
198.3,-0.9059049388504752,Order353-2,Task 9000
200.3,9.318610081887341,Order353-4,Task 9002
203.3,20.954144522956057,Order353-8,Task 9006
211.3,0.02149186960287741,Order353-6,Task 9004
214.3,16.653932167924896,Order353-7,Task 9005
