"tick","Resource","Service"
1.0,2,0
2.0,3,0
3.0,6,0
4.0,7,0
5.0,7,0
6.0,7,0
7.0,7,0
8.0,10,0
9.0,10,0
10.0,10,0
11.0,11,0
12.0,11,0
13.0,12,0
14.0,15,0
15.0,16,0
16.0,18,0
17.0,19,0
18.0,21,0
19.0,23,0
20.0,24,0
21.0,25,0
22.0,29,0
23.0,27,0
24.0,27,0
25.0,29,0
26.0,28,0
27.0,28,0
28.0,31,0
29.0,33,0
30.0,33,0
31.0,33,0
32.0,35,0
33.0,35,0
34.0,36,0
35.0,37,0
36.0,37,0
37.0,39,0
38.0,39,0
39.0,40,0
40.0,40,0
41.0,42,0
42.0,44,0
43.0,43,0
44.0,46,0
45.0,49,0
46.0,49,0
47.0,51,0
48.0,51,0
49.0,51,0
50.0,52,0
51.0,51,0
52.0,53,0
53.0,55,0
54.0,56,0
55.0,58,0
56.0,58,0
57.0,60,0
58.0,63,0
59.0,63,0
60.0,62,0
61.0,62,0
62.0,63,0
63.0,63,0
64.0,66,0
65.0,67,0
66.0,68,0
67.0,69,0
68.0,69,0
69.0,71,0
70.0,72,0
71.0,72,0
72.0,75,0
73.0,77,0
74.0,81,0
75.0,82,0
76.0,82,0
77.0,84,0
78.0,82,0
79.0,85,0
80.0,86,0
81.0,84,0
82.0,84,0
83.0,84,0
84.0,84,0
85.0,88,0
86.0,88,0
87.0,88,0
88.0,89,0
89.0,88,0
90.0,88,0
91.0,91,0
92.0,95,0
93.0,95,0
94.0,99,0
95.0,100,0
96.0,101,0
97.0,104,0
98.0,105,0
99.0,108,0
100.0,106,0
101.0,106,0
102.0,106,0
103.0,106,0
104.0,108,0
105.0,108,0
106.0,110,0
107.0,110,0
108.0,110,0
109.0,110,0
110.0,110,0
111.0,110,0
112.0,112,0
113.0,112,0
114.0,112,0
115.0,114,0
116.0,114,0
117.0,115,0
118.0,115,0
119.0,114,0
120.0,114,0
121.0,111,0
122.0,111,0
123.0,112,0
124.0,112,0
125.0,112,0
126.0,112,0
127.0,114,0
128.0,114,0
129.0,115,0
130.0,116,0
131.0,116,0
132.0,115,0
133.0,115,0
134.0,118,0
135.0,120,0
136.0,120,0
137.0,122,0
138.0,123,0
139.0,124,0
140.0,125,0
141.0,124,0
142.0,124,0
143.0,124,0
144.0,123,0
145.0,123,0
146.0,123,0
147.0,123,0
148.0,124,0
149.0,124,0
150.0,126,0
