"tick","Finish Task Count"
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
13.0,0.0
14.0,1.0
15.0,3.0
16.0,3.0
17.0,4.0
18.0,4.0
19.0,5.0
20.0,5.0
21.0,5.0
22.0,5.0
23.0,5.0
24.0,5.0
25.0,6.0
26.0,6.0
27.0,6.0
28.0,7.0
29.0,8.0
30.0,9.0
31.0,9.0
32.0,10.0
33.0,11.0
34.0,12.0
35.0,12.0
36.0,12.0
37.0,12.0
38.0,14.0
39.0,14.0
40.0,15.0
41.0,15.0
42.0,15.0
43.0,15.0
44.0,16.0
45.0,16.0
46.0,16.0
47.0,17.0
48.0,17.0
49.0,18.0
50.0,18.0
51.0,19.0
52.0,19.0
53.0,19.0
54.0,19.0
55.0,19.0
56.0,20.0
57.0,20.0
58.0,21.0
59.0,21.0
60.0,21.0
61.0,22.0
62.0,24.0
63.0,24.0
64.0,24.0
65.0,26.0
66.0,28.0
67.0,29.0
68.0,30.0
69.0,31.0
70.0,32.0
71.0,32.0
72.0,33.0
73.0,34.0
74.0,35.0
75.0,36.0
76.0,38.0
77.0,38.0
78.0,38.0
79.0,39.0
80.0,39.0
81.0,39.0
82.0,39.0
83.0,39.0
84.0,39.0
85.0,39.0
86.0,39.0
87.0,39.0
88.0,39.0
89.0,39.0
90.0,39.0
91.0,40.0
92.0,40.0
93.0,40.0
94.0,40.0
95.0,41.0
96.0,42.0
97.0,42.0
98.0,42.0
99.0,43.0
100.0,43.0
101.0,43.0
102.0,43.0
103.0,43.0
104.0,44.0
105.0,44.0
106.0,45.0
107.0,46.0
108.0,46.0
109.0,46.0
110.0,47.0
111.0,49.0
112.0,49.0
113.0,49.0
114.0,49.0
115.0,49.0
116.0,51.0
117.0,51.0
118.0,53.0
119.0,53.0
120.0,53.0
121.0,53.0
122.0,53.0
123.0,53.0
124.0,53.0
125.0,53.0
126.0,54.0
127.0,54.0
128.0,54.0
129.0,54.0
130.0,54.0
131.0,54.0
132.0,56.0
133.0,57.0
