"tick","Resource","Service"
1.0,1,0
2.0,2,0
3.0,3,0
4.0,4,0
5.0,5,0
6.0,7,0
7.0,8,0
8.0,10,0
9.0,11,0
10.0,11,0
11.0,11,0
12.0,13,0
13.0,15,0
14.0,16,0
15.0,17,0
16.0,19,0
17.0,21,0
18.0,21,0
19.0,21,0
20.0,21,0
21.0,21,0
22.0,22,0
23.0,22,0
24.0,22,0
25.0,22,0
26.0,23,0
27.0,23,0
28.0,24,0
29.0,24,0
30.0,25,0
31.0,25,0
32.0,26,0
33.0,29,0
34.0,29,0
35.0,29,0
36.0,30,0
37.0,29,0
38.0,30,0
39.0,30,0
40.0,31,0
41.0,32,0
42.0,32,0
43.0,34,0
44.0,34,0
45.0,36,0
46.0,32,0
47.0,33,0
48.0,36,0
49.0,38,0
50.0,39,0
51.0,38,0
52.0,38,0
53.0,39,0
54.0,39,0
55.0,38,0
56.0,39,0
57.0,39,0
58.0,39,0
59.0,40,0
60.0,40,0
61.0,41,0
62.0,41,0
63.0,41,0
64.0,43,0
65.0,43,0
66.0,43,0
67.0,43,0
68.0,43,0
69.0,45,0
70.0,47,0
71.0,46,0
72.0,46,0
73.0,44,0
74.0,45,0
75.0,45,0
76.0,46,0
77.0,47,0
78.0,48,0
79.0,51,0
80.0,52,0
81.0,53,0
82.0,53,0
83.0,55,0
84.0,54,0
85.0,55,0
86.0,55,0
87.0,56,0
88.0,55,0
89.0,54,0
90.0,57,0
91.0,57,0
92.0,59,0
93.0,58,0
94.0,58,0
95.0,58,0
96.0,57,0
97.0,56,0
98.0,57,0
99.0,57,0
100.0,58,0
101.0,57,0
102.0,57,0
103.0,57,0
104.0,57,0
105.0,60,0
106.0,58,0
107.0,59,0
108.0,59,0
109.0,60,0
110.0,60,0
111.0,63,0
112.0,66,0
113.0,67,0
114.0,67,0
115.0,67,0
116.0,69,0
117.0,69,0
118.0,71,0
119.0,71,0
120.0,71,0
121.0,71,0
122.0,71,0
123.0,72,0
124.0,73,0
125.0,74,0
126.0,76,0
127.0,76,0
128.0,77,0
129.0,76,0
130.0,76,0
131.0,76,0
132.0,76,0
133.0,76,0
134.0,77,0
135.0,77,0
136.0,79,0
137.0,80,0
138.0,79,0
139.0,78,0
140.0,79,0
141.0,79,0
142.0,79,0
143.0,81,0
144.0,81,0
145.0,81,0
146.0,82,0
147.0,82,0
148.0,82,0
149.0,82,0
150.0,82,0
151.0,83,0
152.0,83,0
153.0,83,0
154.0,85,0
155.0,85,0
156.0,85,0
157.0,85,0
158.0,89,0
159.0,86,0
160.0,88,0
161.0,88,0
162.0,88,0
163.0,90,0
164.0,92,0
165.0,95,0
166.0,95,0
167.0,95,0
168.0,98,0
169.0,97,0
170.0,97,0
171.0,97,0
172.0,98,0
173.0,97,0
174.0,99,0
175.0,97,0
176.0,98,0
177.0,99,0
178.0,100,0
179.0,100,0
180.0,100,0
181.0,103,0
182.0,102,0
183.0,102,0
184.0,102,0
185.0,103,0
186.0,104,0
187.0,107,0
188.0,107,0
189.0,109,0
190.0,111,0
191.0,114,0
192.0,114,0
193.0,114,0
194.0,114,0
195.0,116,0
196.0,118,0
197.0,120,0
198.0,123,0
199.0,120,0
200.0,123,0
201.0,125,0
202.0,128,0
203.0,130,0
204.0,128,0
205.0,131,0
206.0,132,0
207.0,129,0
208.0,133,0
209.0,133,0
210.0,134,0
211.0,134,0
212.0,135,0
213.0,137,0
214.0,137,0
215.0,136,0
216.0,137,0
217.0,138,0
218.0,141,0
219.0,143,0
220.0,138,0
221.0,139,0
222.0,140,0
223.0,141,0
224.0,143,0
225.0,145,0
226.0,146,0
227.0,146,0
228.0,146,0
229.0,148,0
230.0,150,0
231.0,150,0
232.0,151,0
233.0,150,0
234.0,150,0
235.0,150,0
236.0,154,0
237.0,156,0
238.0,157,0
239.0,157,0
240.0,159,0
241.0,160,0
242.0,160,0
243.0,160,0
244.0,162,0
245.0,164,0
246.0,164,0
247.0,166,0
248.0,166,0
249.0,170,0
250.0,172,0
251.0,173,0
252.0,174,0
253.0,177,0
254.0,180,0
255.0,182,0
256.0,183,0
257.0,185,0
258.0,186,0
259.0,187,0
260.0,184,0
261.0,185,0
262.0,185,0
263.0,185,0
264.0,186,0
265.0,189,0
266.0,188,0
267.0,189,0
268.0,190,0
269.0,190,0
270.0,193,0
271.0,194,0
272.0,194,0
273.0,194,0
274.0,195,0
275.0,196,0
276.0,198,0
277.0,198,0
278.0,200,0
279.0,201,0
280.0,202,0
281.0,203,0
282.0,204,0
283.0,207,0
284.0,206,0
285.0,208,0
286.0,209,0
287.0,210,0
288.0,212,0
289.0,216,0
290.0,217,0
291.0,221,0
292.0,221,0
293.0,223,0
294.0,225,0
295.0,227,0
296.0,227,0
297.0,227,0
298.0,228,0
299.0,229,0
300.0,228,0
301.0,232,0
302.0,233,0
303.0,233,0
304.0,236,0
305.0,236,0
306.0,238,0
307.0,240,0
308.0,238,0
309.0,239,0
310.0,240,0
311.0,240,0
312.0,243,0
313.0,243,0
314.0,242,0
315.0,242,0
316.0,242,0
317.0,244,0
318.0,245,0
319.0,245,0
320.0,245,0
321.0,245,0
322.0,248,0
323.0,248,0
324.0,250,0
325.0,250,0
326.0,250,0
327.0,252,0
328.0,252,0
329.0,253,0
330.0,256,0
331.0,260,0
332.0,262,0
333.0,262,0
334.0,264,0
335.0,264,0
336.0,265,0
337.0,267,0
338.0,267,0
339.0,269,0
340.0,270,0
341.0,270,0
342.0,272,0
343.0,274,0
344.0,276,0
345.0,276,0
346.0,278,0
347.0,279,0
348.0,281,0
349.0,282,0
350.0,284,0
351.0,288,0
352.0,291,0
353.0,292,0
354.0,292,0
355.0,295,0
356.0,298,0
357.0,298,0
358.0,299,0
359.0,299,0
360.0,300,0
361.0,301,0
362.0,303,0
363.0,303,0
364.0,305,0
365.0,305,0
366.0,308,0
367.0,312,0
368.0,313,0
369.0,313,0
370.0,314,0
371.0,316,0
372.0,318,0
373.0,321,0
374.0,324,0
375.0,328,0
376.0,328,0
377.0,331,0
378.0,330,0
379.0,334,0
380.0,337,0
381.0,339,0
382.0,341,0
383.0,343,0
384.0,343,0
385.0,344,0
386.0,342,0
387.0,340,0
388.0,343,0
389.0,346,0
390.0,346,0
391.0,346,0
392.0,345,0
393.0,347,0
394.0,350,0
395.0,349,0
396.0,348,0
397.0,348,0
398.0,349,0
399.0,351,0
400.0,350,0
401.0,351,0
402.0,351,0
403.0,353,0
404.0,353,0
405.0,354,0
406.0,357,0
407.0,358,0
408.0,359,0
409.0,360,0
410.0,362,0
411.0,364,0
412.0,365,0
413.0,367,0
414.0,367,0
415.0,368,0
416.0,369,0
417.0,369,0
418.0,372,0
419.0,369,0
420.0,373,0
421.0,371,0
422.0,373,0
423.0,373,0
424.0,371,0
425.0,374,0
426.0,372,0
427.0,371,0
428.0,371,0
429.0,371,0
430.0,372,0
431.0,370,0
432.0,373,0
433.0,371,0
434.0,371,0
435.0,373,0
436.0,373,0
437.0,370,0
438.0,371,0
439.0,372,0
440.0,370,0
441.0,370,0
442.0,370,0
443.0,373,0
444.0,373,0
445.0,375,0
446.0,375,0
447.0,377,0
448.0,378,0
