Tick,Quality,type,Task
12.0,0.5031091013792155,Order351-4,Task 5710
13.0,0.032248688217367955,Order351-6,Task 5712
14.3,8.741480576566705,Order351-1,Task 5707
17.3,8.79830840127094,Order351-10,Task 5716
21.3,9.895947636355176,Order351-7,Task 5713
22.0,7.974674044870129,Order354-2,Task 5718
23.0,-0.48096625379939884,Order354-1,Task 5717
24.0,5.266504090402975,Order354-2,Task 5728
24.3,0.5035411437791371,Order354-5,Task 5721
25.0,18.64359146404507,Order354-6,Task 5722
26.3,5.849296799571929,Order351-3,Task 5709
29.3,10.51769742038818,Order354-9,Task 5725
30.3,23.046936676897637,Order354-7,Task 5723
32.3,21.23118538267293,Order354-3,Task 5729
32.3,8.029621320443804,Order354-7,Task 5733
32.3,24.382150060715368,Order354-6,Task 5732
33.3,-3.100399288395641,Order354-1,Task 5727
34.3,7.011488160839332,Order354-3,Task 5719
37.3,6.007404707272863,Order354-9,Task 5735
37.3,23.246858350452275,Order353-1,Task 5737
40.3,-0.07622368018558517,Order354-8,Task 5724
41.3,-4.67006329787181,Order354-10,Task 5726
43.3,5.152449674592953,Order354-5,Task 5731
44.3,8.377362233430844,Order351-8,Task 5714
47.3,2.5481678254398012,Order351-2,Task 5708
48.3,4.4712267649885575,Order354-10,Task 5736
50.3,1.212096619912436,Order354-8,Task 5734
52.3,4.479501134665806,Order354-4,Task 5730
54.3,-0.04048848867603594,Order353-10,Task 5746
59.3,0.14219428003424883,Order351-9,Task 5715
60.3,10.080877435383837,Order353-2,Task 5738
61.3,2.7199789981283784,Order354-4,Task 5720
65.3,-0.025228361117220155,Order353-8,Task 5744
65.3,2.9327882049332903,Order353-9,Task 5745
70.3,21.158510637315448,Order351-5,Task 5711
70.3,6.977393069851946,Order354-10,Task 5756
72.3,18.593351139397885,Order353-3,Task 5739
72.3,3.422599283350081,Order354-1,Task 5747
78.3,7.6698164730596625,Order353-6,Task 5742
79.3,-1.3178773535950734,Order353-4,Task 5740
79.3,10.058755840892104,Order354-7,Task 5753
82.3,-0.19175447801387335,Order353-7,Task 5743
84.0,4.878425467782149,Order347-6,Task 5762
87.3,29.13632791903567,Order350-7,Task 5773
88.3,-1.8531137543856935,Order353-5,Task 5741
95.3,28.426129782330314,Order354-6,Task 5752
96.3,5.985560078318279,Order354-4,Task 5750
97.3,9.228782194568073,Order354-2,Task 5748
102.3,22.71051979371237,Order347-5,Task 5761
103.3,7.989998531388918,Order354-3,Task 5749
108.3,4.784406623641887,Order353-3,Task 5797
110.3,7.479944588454797,Order354-5,Task 5751
113.3,17.90841851446375,Order350-4,Task 5770
115.3,5.150032834523258,Order353-3,Task 5807
115.3,4.612538001750524,Order353-2,Task 5806
115.3,5.34600723479264,Order353-8,Task 5802
120.3,6.252955577499872,Order354-8,Task 5754
125.3,-1.6050109263717136,Order354-9,Task 5755
131.3,6.7406422605945515,Order347-8,Task 5764
135.3,7.925928036069432,Order347-3,Task 5759
137.3,0.6373906723475153,Order347-7,Task 5763
139.3,6.172323892971135,Order347-4,Task 5760
143.3,8.72916635978848,Order347-2,Task 5758
146.3,-1.1751241837103965,Order347-1,Task 5757
146.3,10.654839113804604,Order347-10,Task 5766
147.3,1.878292022236982,Order347-9,Task 5765
151.3,8.81715544102211,Order350-9,Task 5775
153.3,7.2070279302009865,Order350-5,Task 5771
153.3,5.079070942318534,Order350-3,Task 5769
154.3,3.6893315819921204,Order350-2,Task 5768
156.3,0.5760931534810152,Order350-6,Task 5772
156.3,6.196853402342253,Order350-1,Task 5767
157.3,3.202630755822683,Order350-2,Task 5787
158.3,-1.1973623597528125,Order350-8,Task 5774
160.3,6.789195939809906,Order350-8,Task 5793
163.0,0.34612112262978634,Order353-6,Task 5820
163.3,20.69349203703337,Order345-10,Task 5785
163.3,4.01092842108374,Order350-9,Task 5794
164.3,1.0240666377384202,Order350-1,Task 5786
