"Task","tick"
0,1.0
0,2.0
0,3.0
0,4.0
0,5.0
10,6.0
10,7.0
10,8.0
10,9.0
10,10.0
10,11.0
19,12.0
19,13.0
18,14.0
16,15.0
16,16.0
15,17.0
15,18.0
14,19.0
14,20.0
14,21.0
14,22.0
14,23.0
14,24.0
13,25.0
13,26.0
13,27.0
12,28.0
11,29.0
10,30.0
10,31.0
9,32.0
8,33.0
7,34.0
7,35.0
7,36.0
7,37.0
5,38.0
5,39.0
4,40.0
4,41.0
4,42.0
4,43.0
3,44.0
3,45.0
3,46.0
2,47.0
2,48.0
1,49.0
1,50.0
0,51.0
0,52.0
10,53.0
10,54.0
10,55.0
9,56.0
9,57.0
8,58.0
8,59.0
8,60.0
7,61.0
5,62.0
5,63.0
15,64.0
13,65.0
11,66.0
10,67.0
9,68.0
8,69.0
7,70.0
7,71.0
6,72.0
5,73.0
4,74.0
3,75.0
1,76.0
1,77.0
1,78.0
0,79.0
0,80.0
0,81.0
0,82.0
0,83.0
0,84.0
0,85.0
0,86.0
0,87.0
10,88.0
10,89.0
10,90.0
9,91.0
9,92.0
9,93.0
9,94.0
8,95.0
7,96.0
7,97.0
7,98.0
6,99.0
6,100.0
6,101.0
6,102.0
6,103.0
5,104.0
5,105.0
4,106.0
3,107.0
13,108.0
13,109.0
12,110.0
10,111.0
10,112.0
10,113.0
10,114.0
10,115.0
18,116.0
18,117.0
16,118.0
16,119.0
16,120.0
16,121.0
16,122.0
16,123.0
16,124.0
16,125.0
25,126.0
35,127.0
35,128.0
35,129.0
35,130.0
35,131.0
33,132.0
32,133.0
32,134.0
31,135.0
31,136.0
31,137.0
31,138.0
40,139.0
40,140.0
39,141.0
39,142.0
38,143.0
37,144.0
46,145.0
45,146.0
44,147.0
43,148.0
41,149.0
40,150.0
39,151.0
39,152.0
36,153.0
35,154.0
34,155.0
33,156.0
33,157.0
33,158.0
32,159.0
31,160.0
29,161.0
29,162.0
29,163.0
28,164.0
28,165.0
28,166.0
28,167.0
28,168.0
27,169.0
27,170.0
27,171.0
37,172.0
47,173.0
46,174.0
46,175.0
45,176.0
45,177.0
45,178.0
45,179.0
55,180.0
55,181.0
55,182.0
55,183.0
55,184.0
54,185.0
53,186.0
53,187.0
53,188.0
53,189.0
53,190.0
61,191.0
59,192.0
59,193.0
59,194.0
69,195.0
69,196.0
68,197.0
68,198.0
67,199.0
67,200.0
67,201.0
66,202.0
65,203.0
65,204.0
65,205.0
64,206.0
64,207.0
64,208.0
64,209.0
73,210.0
73,211.0
73,212.0
73,213.0
73,214.0
73,215.0
73,216.0
72,217.0
72,218.0
72,219.0
72,220.0
72,221.0
71,222.0
71,223.0
71,224.0
71,225.0
71,226.0
70,227.0
69,228.0
69,229.0
69,230.0
68,231.0
68,232.0
68,233.0
66,234.0
65,235.0
63,236.0
60,237.0
60,238.0
58,239.0
58,240.0
58,241.0
57,242.0
67,243.0
66,244.0
66,245.0
66,246.0
64,247.0
63,248.0
62,249.0
61,250.0
61,251.0
59,252.0
58,253.0
57,254.0
57,255.0
56,256.0
53,257.0
53,258.0
52,259.0
60,260.0
59,261.0
59,262.0
58,263.0
58,264.0
57,265.0
56,266.0
56,267.0
55,268.0
55,269.0
55,270.0
65,271.0
75,272.0
74,273.0
74,274.0
73,275.0
72,276.0
72,277.0
72,278.0
80,279.0
80,280.0
79,281.0
79,282.0
78,283.0
77,284.0
76,285.0
76,286.0
86,287.0
83,288.0
83,289.0
83,290.0
83,291.0
83,292.0
82,293.0
81,294.0
81,295.0
81,296.0
81,297.0
